ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00014d7907--603b93f405fe9e7bbc0c15a8	+	.
00014d7907--603b93dc8f3a5b0301762657	+	.
00014d7907--603b941254b7e0182020ecdc	+	.
00014d7907--603b93df322af671cc669e52	-	The object is not selected or selected incorrectly.
00014d7907--603b93ddcef1653f006f0ca5	-	The object is not selected or selected incorrectly.
00014d7907--603b93ecdc3e427f2b45e81d	+	.
00014d7907--603b93fd61baae35d7d97f4d	+	.
00014d7907--603b93fda969b659d6d72d00	+	.
00014d7907--603b94090ed6b503777d8e34	+	.
00014d7907--603b93fe0ed6b503777d8d9c	-	The object is not selected or selected incorrectly.
00014d7907--603b93b4cf91f324854456b0	+	.
00014d7907--603b93debfb3845c39f15880	+	.
00014d7907--603b94050ed6b503777d8e06	+	.
00014d7907--603b93b4cbcf512b7fd48bf4	-	The object is not selected or selected incorrectly.
00014d7907--603b966505fe9e7bbc0c3706	+	.
00014d7907--603b940949078523cb0a736d	-	The object is not selected or selected incorrectly.
00014d7907--603b93dd71fc4c65e3123094	-	The object is not selected or selected incorrectly.
00014d7907--603b93fb3c636f34071e5d3c	-	The object is not selected or selected incorrectly.
00014d7907--603b93fa7d73695f74869b25	-	The object is not selected or selected incorrectly.
00014d7907--603b93decbcf512b7fd48eb3	+	.
00014d7907--603b9405dc3e427f2b45e984	+	.
00014d7907--603b93dd552df05f03c742c3	+	.
00014d7907--603b93cf8f5d4e00e545205d	-	The object is not selected or selected incorrectly.
00014d7907--603b941444796245da1b7c78	+	.
00014d7907--603b93f171fc4c65e3123169	+	.
00014d7907--603b942f3c636f34071e5f8c	-	The object is not selected or selected incorrectly.
00014d7907--603b93ecdc3e427f2b45e813	+	.
00014d7907--603b93c3cc257336572025a6	+	.
00014d7907--603b940171fc4c65e3123252	-	The object is not selected or selected incorrectly.
00014d7907--603b93c18f3a5b03017624ff	+	.
00014d7907--603b93e25563fe2270aa5834	-	The object is not selected or selected incorrectly.
00014d7907--603b940cbfb3845c39f15ac9	+	.
00014d7907--603b93e9552df05f03c743e5	-	The object is not selected or selected incorrectly.
00014d7907--603b93e16d041c462a84aebd	-	The object is not selected or selected incorrectly.
00014d7907--603b940f43e6010d0db57e28	-	The object is not selected or selected incorrectly.
00014d7907--603b941144796245da1b7c06	-	The object is not selected or selected incorrectly.
00014d7907--603b93f5e6297e139aa0a2f0	+	.
00014d7907--603b9414552df05f03c7468e	+	.
00014d7907--603b9407322af671cc66a18f	-	The object is not selected or selected incorrectly.
00014d7907--603b94038f3a5b03017627d5	-	The object is not selected or selected incorrectly.
00014d7907--603b9408462de9226e233718	-	The object is not selected or selected incorrectly.
00014d7907--603b940fcef1653f006f0f22	-	The object is not selected or selected incorrectly.
00014d7907--603b93f18f3a5b0301762720	-	The object is not selected or selected incorrectly.
00014d7907--603b93d07dc9ce73e6d7a84d	-	The object is not selected or selected incorrectly.
00014d7907--603b93f77dc9ce73e6d7aac2	+	.
00014d7907--603b93abcf91f32485445621	+	.
00014d7907--603b93d5cbcf512b7fd48df9	-	The object is not selected or selected incorrectly.
00014d7907--603b9408552df05f03c7461b	+	.
00014d7907--603b93ca54b7e0182020e494	-	The object is not selected or selected incorrectly.
00014d7907--603b93ca3c636f34071e5b5d	+	.
00014d7907--603b940461baae35d7d98095	-	The object is not selected or selected incorrectly.
00014d7907--603b93c8901bc7123a3d7683	+	.
00014d7907--603b9400bfb3845c39f15a49	-	The object is not selected or selected incorrectly.
00014d7907--603b93dc552df05f03c74287	+	.
