INPUT:id	INPUT:text	OUTPUT:label	ASSIGNMENT:worker_id	ASSIGNMENT:assignment_id
0	экскурсии  вторник и четверг 12:15, 13:30, 14:45. Экскурсии	not_ad	0fd6ae84-def6-4f9e-85f1-655d68800b3d	0e8dd038-305e-4ac1-a1cc-180a1ebfc75f
0	экскурсии  вторник и четверг 12:15, 13:30, 14:45. Экскурсии	not_ad	da5df87b-246f-476a-9311-c91e8edebafc	0cf42713-1623-4486-bae1-fccc22331713
0	экскурсии  вторник и четверг 12:15, 13:30, 14:45. Экскурсии	ban_shock_content	79b9d7bb-d195-4e04-b46a-271a1d72c8c5	1f99596f-b36b-4b10-a8c1-3f67bc25b7cc
1	Мойка самообслуживания 24/7 Аллес Гуд. Работаем 24/7	not_ad	f76f2e9a-2be2-447e-90e6-b9462efe41ca	d3464ad0-e04a-4a52-8c05-fba0e433e53f
1	Мойка самообслуживания 24/7 Аллес Гуд. Работаем 24/7	ban_shock_content	213d0113-1224-4128-b511-03051061ee75	9ecea5ad-abd2-4e27-8089-2a2cdc51b269
1	Мойка самообслуживания 24/7 Аллес Гуд. Работаем 24/7	not_ad	3d0ddeca-ac58-433b-b125-a49d68ad0323	f75146a4-7976-4558-b893-2762f127bf73
2	Строительные работы, мелкие работы.. Наш сайт universal-22.ru	not_add	148a9885-7be9-4599-adbb-128b76bdd622	8dfde03f-d248-4b7f-a829-a679a0ad870a
2	Строительные работы, мелкие работы.. Наш сайт universal-22.ru	not_add	d319ef7a-d1cd-4e28-aa96-7642827bb63b	4d50a0e2-8510-41a3-9912-646b56ee9317
2	Строительные работы, мелкие работы.. Наш сайт universal-22.ru	not_add	45533ef8-6fa6-4c20-8847-c394e81929f1	3fc995d4-bfe5-4f9a-aeed-899426e3a703
3	Приму заказ на парфюм. С ног сшибательны аромат	ad	e28e05ad-5d99-4ab6-a069-c0cb4f3131a4	aa1d0ba7-03be-4943-9b4a-412325b3e26e
3	Приму заказ на парфюм. С ног сшибательны аромат	ban_shock_content	a49c2a0e-8dba-4d64-ad9b-acac9a663858	5113e24a-a65c-449a-8ddf-5eadce4e2282
3	Приму заказ на парфюм. С ног сшибательны аромат	not_add	34c8466b-e2db-4e02-bad9-a05b7672432f	87a9e90d-bd50-4dd0-8349-451913dd9299
4	✅Мы предлагаем приобрести б/у технику в нашем магазине!. Бытовая техника бу от 6000р.	ad	53e38a14-d164-44e7-9433-c9dfc28b888f	71e514ed-cd86-4e43-84db-61082e133620
4	✅Мы предлагаем приобрести б/у технику в нашем магазине!. Бытовая техника бу от 6000р.	ad	0ead75cf-c6dd-4873-85fe-928a958df072	8f8f2c84-2378-463f-bc42-fe182f3bba01
4	✅Мы предлагаем приобрести б/у технику в нашем магазине!. Бытовая техника бу от 6000р.	ban_shock_content	b9d84270-7a7f-47a1-b9e4-2a7caf433b95	af4dbb3d-9169-476e-a50e-e8eabc536868
