query	region	url	screen
турнирная таблица чемпионата россии по футболу 2019 2020 премьер лига	Москва (Россия)	http://russianfootballtable.ru/	https://storage.mds.yandex.net/get-mturk/64929/8821f326-4119-4b29-b69e-5855cea877fd.png
турнирная таблица чемпионата россии по футболу 2019 2020 премьер лига	Москва (Россия)	https://www.livesport.ru/football/rfpl/calendar/	https://storage.mds.yandex.net/get-mturk/49815/7f41508a-113b-4e9f-a766-6d28d411f33b.png
турнирная таблица чемпионата россии по футболу 2019 2020 премьер лига	Москва (Россия)	http://www.teams.by/chempionat-rossii-2019-2020-premier-league/table-2502/	https://storage.mds.yandex.net/get-mturk/28268/2e19c564-ae76-4842-9d65-6e63f3f7ac39.png
турнирная таблица чемпионата россии по футболу 2019 2020 премьер лига	Москва (Россия)	https://soccer365.ru/competitions/13/2011-2012/	https://storage.mds.yandex.net/get-mturk/51762/573a00b1-4bf5-4a5b-aae2-375a127e90c3.png
турнирная таблица чемпионата россии по футболу 2019 2020 премьер лига	Москва (Россия)	https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BC%D0%BF%D0%B8%D0%BE%D0%BD%D0%B0%D1%82_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BF%D0%BE_%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D1%83_2019/2020	https://storage.mds.yandex.net/get-mturk/26147/527f220d-b7b1-4ac5-a4ad-c61b8225fcac.png
турнирная таблица чемпионата россии по футболу 2019 2020 премьер лига	Москва (Россия)	https://score.ru/football/russia/rpl/	https://storage.mds.yandex.net/get-mturk/52837/f2452ab4-a8b5-414d-8e62-682a93526761.png
турнирная таблица чемпионата россии по футболу 2019 2020 премьер лига	Москва (Россия)	https://soccer365.ru/competitions/13/	https://storage.mds.yandex.net/get-mturk/33929/70354581-dd65-45a3-9ad6-1e172b6b28c9.png
турнирная таблица чемпионата россии по футболу 2019 2020 премьер лига	Москва (Россия)	http://www.teams.by/premier-league-2019-chempionat-kazakhstana/table-2456/	https://storage.mds.yandex.net/get-mturk/52137/a5ad2e39-5364-4fe9-8082-3f4f184b9ea6.png
турнирная таблица чемпионата россии по футболу 2019 2020 премьер лига	Москва (Россия)	https://premierliga.ru/news/rfpl/news_23539.html	https://storage.mds.yandex.net/get-mturk/976797/74d3a58f-2a6f-4f42-9fa4-0c4f60d05116.png
турнирная таблица чемпионата россии по футболу 2019 2020 премьер лига	Москва (Россия)	https://www.euro-football.ru/champ/rus.htm	https://storage.mds.yandex.net/get-mturk/52534/769554b9-4d9a-48e1-a96b-adcdcfba721d.png
citrus montessori school	Москва (Россия)	http://ddbo.ru/alternate/%D0%BC%D0%BE%D0%BD%D1%82%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%B8-%D1%88%D0%BA%D0%BE%D0%BB%D1%8B-%D0%B2-%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B5	https://storage.mds.yandex.net/get-mturk/51224/e563cc5a-d77e-46de-988a-eb15ce43cb5f.png
citrus montessori school	Москва (Россия)	https://maporg.ru/moskva/456708360-citrus-montessori-school/	https://storage.mds.yandex.net/get-mturk/64113/d314927e-094e-4f0c-a0a7-7fdacd76188c.png
citrus montessori school	Москва (Россия)	http://nashipenati.ru/	https://storage.mds.yandex.net/get-mturk/246230/118ed3b7-5510-4a9e-b9e5-590eb95e1b48.png
citrus montessori school	Москва (Россия)	http://vk.com/club121850086	https://storage.mds.yandex.net/get-mturk/18496/898b0e77-6cdf-4e51-bcc6-3bdb9c8f70f8.png
citrus montessori school	Москва (Россия)	https://www.instagram.com/explore/locations/524179911/citrus-montessori-school/?hl=fr-ca	https://storage.mds.yandex.net/get-mturk/57610/13f16bda-a00a-424e-817a-a118f16172c6.png
citrus montessori school	Москва (Россия)	https://moscowplaces.ru/deti/shkoly-montessori.html	https://storage.mds.yandex.net/get-geosearch/15218/fce2e673-4e59-4d78-8ff0-163f67358f09
citrus montessori school	Москва (Россия)	http://spravokno.ru/site/1329/2329/citrus-motessori-school/	https://storage.mds.yandex.net/get-mturk/34148/61f292d0-f718-4cd6-9786-99bdb6998c29.png
citrus montessori school	Москва (Россия)	http://moscow.cataloxy.ru/firms/citrus-montessori-school.2281835_c.htm	https://storage.mds.yandex.net/get-mturk/226518/e2a6851b-af55-42fa-865d-420c45959ffb.png
citrus montessori school	Москва (Россия)	http://nashipenati.ru/admissions/	https://storage.mds.yandex.net/get-mturk/100555/54e1310a-5607-4713-b344-1e2b9a4e2066.png
